Energy, geothermal, converted;('natural resource', 'in ground');megajoule
chemical factory construction, organics;RoW;unit;chemical factory, organics
market for metal working, average for steel product manufacturing;GLO;kilogram;metal working, average for steel product manufacturing
Methane, bromochlorodifluoro-, Halon 1211;('air', 'non-urban air or from high stacks');kilogram
injection moulding;RER;kilogram;injection moulding
Propene;('air',);kilogram
Electrolyte, LFP;JP;kilogram;Electrolyte, LFP
Heat, waste;('water', 'ground-, long-term');megajoule
market for nickel sulfate;GLO;kilogram;nickel sulfate
Radiator;GLO;kilogram;Radiator
Positive active material, NMC-622;GLO;kilogram;Positive active material
Ethanol from maize starch;RER;kilogram;Ethanol from maize starch
transport, pipeline, supercritical CO2, 200km w/o recompression;RER;ton kilometer;transport, pipeline, supercritical CO2, 200km w/o recompression
Positive current collector Al;GLO;kilogram;Positive current collector Al
container, with pipes and fittings, for diaphragm compressor;GLO;unit;container, with pipes and fittings, for diaphragm compressor
Maize cultivation, drying and storage {RER} | Maize production Europe | Alloc Rec, U;RER;megajoule;Maize cultivation, drying and storage {RER} | Maize production Europe | Alloc Rec, U
m-Xylene;('air', 'non-urban air or from high stacks');kilogram
market for N-methyl-2-pyrrolidone;GLO;kilogram;N-methyl-2-pyrrolidone
PEM electrolyzer, Operation and Maintenance;RER;hour;PEM electrolyzer, Operation and Maintenance
distribution network construction, electricity, low voltage;CH;kilometer;distribution network, electricity, low voltage
market for natural gas, medium pressure, vehicle grade;GLO;kilogram;natural gas, medium pressure, vehicle grade
Anode current collector, NCA;JP;kilogram;Anode current collector, NCA
Ammonia;('air', 'low population density, long-term');kilogram
market for heat, from steam, in chemical industry;RER;megajoule;heat, from steam, in chemical industry
Noble gases, radioactive, unspecified;('air', 'non-urban air or from high stacks');kilo Becquerel
Sulfate;('water', 'ground-, long-term');kilogram
Clamps and fasteners;GLO;kilogram;Clamps and fasteners
Cathode current collector, LFP;JP;kilogram;Cathode current collector, LFP
straw pellets;RER;megajoule;straw pellets
Biodiesel, from algae, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Manifolds;GLO;kilogram;Manifolds
electricity production, nuclear, pressure water reactor;DE;kilowatt hour;electricity, high voltage
market group for electricity, high voltage;EUR;kilowatt hour;electricity, high voltage
1-Pentene;('air', 'low population density, long-term');kilogram
market for gas turbine, 10MW electrical;GLO;unit;gas turbine, 10MW electrical
Separator;GLO;kilogram;Separator
market for heat, from steam, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry
Separator, LFP;JP;kilogram;Separator, LFP
market for soil pH raising agent, as CaCO3;GLO;kilogram;soil pH raising agent, as CaCO3
market for welding, arc, steel;GLO;meter;welding, arc, steel
treatment of tyre wear emissions, passenger car;RER;kilogram;tyre wear emissions, passenger car
air separation, cryogenic;RoW;kilogram;oxygen, liquid
market for rape seed;GLO;kilogram;rape seed
market for water, decarbonised;DE;kilogram;water, decarbonised
Cell container;GLO;kilogram;Cell container
Chloride;('water', 'ground-');kilogram
market for anode, graphite, for lithium-ion battery;GLO;kilogram;anode, graphite, for lithium-ion battery
Nitrogen oxides;('air', 'low population density, long-term');kilogram
Heptane;('air', 'non-urban air or from high stacks');kilogram
market for electronic component, passive, unspecified;GLO;kilogram;electronic component, passive, unspecified
treatment of municipal solid waste, incineration;DE;kilowatt hour;electricity, for reuse in municipal waste incineration only
market for lithium hydroxide;GLO;kilogram;lithium hydroxide
market for brass;CH;kilogram;brass
market for light fuel oil;RoW;kilogram;light fuel oil
o-Xylene;('air',);kilogram
Tray seal;GLO;kilogram;Tray seal
o-Xylene;('air', 'urban air close to ground');kilogram
market for packaging film, low density polyethylene;GLO;kilogram;packaging film, low density polyethylene
Bimetallic busbars and washers;GLO;kilogram;Bimetallic busbars and washers
market for graphite;GLO;kilogram;graphite
